user_id,vip_login
569342750,captainpuffy
569342750,punz
72550899,amandaxvida
72550899,bigjon
72550899,blairmc44
72550899,crickeymikey
72550899,evikka
72550899,exilon___
72550899,hihicaptain
72550899,itzyaboiburi
72550899,jhnnycrwsh
72550899,littlenicky1
72550899,mepparn
72550899,my_trolling_account
72550899,patrok
72550899,sam_v89
72550899,sswphoenix
72550899,sweetpea1217
72550899,twitchmusicid
88946548,lyric
88946548,pokelawls
88946548,tennp0
254489093,gabrielucas20
254489093,guiilenda
254489093,nahzinhaa
254489093,stealthz_k1ller_vapo
254489093,warz1n
119506529,fillesces
119506529,varvalian
77415295,crcornn
77415295,dmf_kyochan
77415295,iam_xq
77415295,sasatikk
77415295,vuelokun2
107305687,fuslie
107305687,saiiren
485855940,daikai4104
485855940,eggroland
485855940,kaiwing1027
485855940,kongyue0720
485855940,liang_0714
485855940,mapletom
485855940,riven696
485855940,unified168108
485855940,yuwanxd
485855940,zod0416
38594688,heresyaboyjason
106013742,adeptabyss
106013742,arcey_bot
106013742,arctura_alpha
106013742,artesianbuilds
106013742,bond_83
106013742,deaf_kage
106013742,decaf_teabagger
106013742,fknheadeyes
106013742,gabrez_
106013742,haylow1221
106013742,jonathanocon
106013742,kiki
106013742,laughing_boi
106013742,onitork
106013742,phlux_za
106013742,realamanda
106013742,ryanwalkinshaw
106013742,techinica
106013742,themrdart
106013742,tobitalks_official
61433001,8packbysummer
61433001,benneths
61433001,camilo
61433001,duhjaip
61433001,ffrizy
61433001,gregthejet
61433001,hawkamania3
61433001,masanz
61433001,metwbs
61433001,nathantheheatfan
61433001,nolanroseborough_
61433001,ovophantuums
61433001,splashedition
61433001,tacticz__
61433001,turkdeer_
38746172,apollorook
38746172,bratom
38746172,btwieatass
38746172,dantheman0700
38746172,dentonio
38746172,dohton
38746172,gachiguru
38746172,grannynonny
38746172,jayhilaneh
38746172,kaiserbowl
38746172,musty_meats
38746172,taykum64
38746172,tirrinwow
38746172,xshadowturkeyx
38746172,yeah_crusade
431882702,ceddygotbandz
431882702,drizzy
431882702,grizzleyworldrpyt
73779954,blinkvii
54739364,argick
54739364,hekigan
54739364,joshimuz
54739364,maxiethehatter
54739364,naro
54739364,ouranea
54739364,rasmus_1990
54739364,riekelt
54739364,robo_sparkle
189290002,danoce
189290002,hannahhroseee
189290002,heyyitzace
189290002,josephswag
189290002,methloh
189290002,muselk
189290002,sozo_labs
189290002,xolex20k
32053915,fcgeopolitics
32053915,poneeeyclub
32053915,saeya_s
26469355,cinnamontoastken
26469355,fortyone
26469355,guapohtx
26469355,kristoferyee
26469355,miggitymaan
26469355,slasher2099
26469355,wolfd20
26469355,xee889
29578325,areshd
29578325,johnxfire
37522866,carter
37522866,chuckmainstreet
37522866,cragsand
37522866,moonjuice
37522866,pluto
37522866,ruthless_ruby
37522866,socallmeastro
268314886,byeolyeon
268314886,hongda206
268314886,kwwaa211
29722828,113peanut
29722828,butterflyouo
29722828,shizukuouo
29722828,wolfnight0126
32402794,kemony
32402794,nikdo__
32402794,ss_dhillon
32402794,sylar_ev1l
188890121,4lehikc
188890121,astapok
188890121,b1ack_5wan
188890121,baga335
188890121,d_ermakov
188890121,dima_maysky192
188890121,harlans_
188890121,kamikpro
188890121,mrnykers
188890121,patalahinart
188890121,sazonoov
188890121,skk1per197
188890121,vas9h
68240113,mibbio
68240113,nargacuga1
68240113,scadedy
68240113,traumfalke
7010591,nnslul
152596920,sneper418
86131599,dzukill
86131599,twiddli
181077473,diego_x2000
181077473,dizzin_
181077473,esp1_
181077473,feipakarai
181077473,ggbrun0
181077473,ianvmonstertg
181077473,kalil420
181077473,leandroforgotten
181077473,sallizz
181077473,togurotv
45302947,baboabe
45302947,boxbox
45302947,brodieraps
45302947,jackieepooh
45302947,kristoferyee
45302947,mohr
45302947,xclutchz
57317154,beejsterguy
57317154,faderon
57317154,ibadda
57317154,imthirty
57317154,sonof7less
57317154,stark4machines
72480716,donkritical
72480716,jackarter
72480716,katangou
72480716,malcomtwitch63
72480716,nyuw
72480716,raistlien
72480716,zllak
116885541,saiiren
29795919,ensthor
29795919,heirentou
29795919,lolbbq
29795919,looperkele
29795919,skyballss
29795919,wildberryjam
46431370,backwoodgg
410965603,abdoking999
410965603,aefder
410965603,andeyyy01
410965603,bce_npocmo
410965603,billybeezmo
410965603,blue20_
410965603,halfullcup
410965603,jhinfex
410965603,lionheart
410965603,oldmonk_97
410965603,renimious
410965603,saiakuzob
410965603,scabu0
410965603,sufianzzz
410965603,tightxeyes
410965603,xycrial
14408894,bloodwarrios
14408894,drunkev
14408894,esrk
14408894,missdoitbig
14408894,requiemslaps
11897156,aughtyvon
11897156,bbarto22
11897156,beckjae
11897156,bigoletigbiddies
11897156,dfggilfslayer
11897156,diablopinata
11897156,fimbii
11897156,geargg
11897156,inyouendo
11897156,jayrizzl
11897156,kikxd
11897156,larrulobster
11897156,lunarflash
11897156,onesaltyvd
11897156,sarcasticviper
11897156,sarmien_winn
11897156,seraph2015
11897156,spacerecycler
11897156,springwhisper
11897156,tenchikenshi3
11897156,trute
11897156,wizecamel
57025612,bis_dk
57025612,frozzbert
57025612,giac_t
57025612,giftfrom
57025612,pillowez
57025612,rockyhardball
57025612,rsarabroza
57025612,sinsemilla83
57025612,spinelsc
57025612,teddym4n
57025612,twitchtjafs
57025612,wildmonkeylover
57025612,zheiju
38779717,ahrel
38779717,broxh_
38779717,buudgie
38779717,cursedhuman
38779717,liquidgold121
38779717,mawlez
38779717,micnl7
38779717,oceanicgamer
87791915,1buhorpaduha1
87791915,6ahah41k
87791915,absolutely_1
87791915,bloodraiser
87791915,chikobano
87791915,dunkard0
87791915,evillyru
87791915,golooboygoose
87791915,landebrauf
87791915,starsky
135052907,carter
135052907,kevindurantow
135052907,kristoferyee
135052907,weest
44574567,bon5a1
44574567,dhnx
44574567,dinokinsgg
44574567,iggydio
44574567,saligia73
44574567,sl0wlux
44574567,thegoodjuicer
44574567,timmy2
21588571,cak3tin
21588571,cartoonz
21588571,ekahs_hs
21588571,justd5
21588571,kikibabe_707
21588571,kim_reiko
21588571,mephiticshepard
21588571,mooseknucle
59635827,lexible
59635827,prowvz
59635827,vadikus007
